"","unlist.list_syllabi.","unlist.a."
"11","NOlawgov_Dawson-Kurban-Thielbörger.pdf","Given the extensive geographic diversity of our student body, the course takes general international law as its starting point while drawing on examples from different national/regional legal orders. Comparative insights and analogies to different legal and political systems are welcome and encouraged. As discussed under participation below, the socratic method of teaching requires respectful and active discussion among the group as a whole – as instructors, we will make strong efforts to encourage wide and balanced participation and encourage students to also support and be respectful of the diverse views and backgrounds of course participants."
"12","policyprocess_welfareemployment_Hassel.pdf","NULL"
"13","policyprocessclimate_Hickmann_Fuhr.pdf","We intend that students in this course who come from diverse backgrounds will be treated equally with the highest level of respect and fairness. The different perspectives that students bring to this class will broaden our horizons and enrich discussions. The available literature, material presented and class activities will be conducted in ways that are respectful of gender, sexuality, disability, age, status and culture. Student suggestions for improving inclusiveness of our course are encouraged and appreciated."
"14","policyprocesseduclaborecon_Graf.pdf","The goal of this course is to provide an open, inclusive, and creative learning environment. The diversity that students bring to this course, primarily through their case studies, is viewed as a resource and benefit. It is my intention to present content and activities that are respectful of diversity. Your suggestions to include more diverse content in the literature are appreciated. Students are encouraged to not only take advantage of the opportunities that diversity brings to our classroom but also to learn from the insights and ideas shared by other students."
"15","policyprocesseu_Migliorati.pdf","This is a course focused on the European Union, hence it is necessarily centred on western European politics and policy making. Nevertheless, the course is meant for anyone who is interested in having a practical understanding of the working mechanisms of such a complex institution, regardless regional origin and culture. Moreover, through the assignments, the course offers the possibility to “impersonate” both non-governmental actors and governmental ones in several policy areas. This gives students the chance to choose what interests they seek to represent according to their aspirations and identity."
"16","public_mgmt_hustedt.pdf","The instructor attaches great importance to diverse and inclusive discussions, and group works to which all students contribute and participate. It is important that everybody feels safe to contribute freely. The instructor will address the significance of an inclusive class atmosphere in the first session. In terms of course structure and content, the course takes the key state of the art concepts of PA scholarship as its starting point and will apply them to different cases and examples from around the globe. Students are encouraged to contribute examples based on their backgrounds. The instructor has broad experience in comparative PA research and in working with governments from different parts of the world which also serves to provide examples from different cases. Last but not least, group works will - occasionally - work with fictional cases that could travel across real- world country cases."
"17","public_mgmt_Parrado.pdf","Given the broad experience of the instructor working with governments of different parts of the world, his examples include experiences from Latin American, Asian and Eastern European countries. Moreover, examples from countries with different majoritarian religions are included."
"18","public_mgmt_Wegrich.pdf","The instructor attaches great importance to diverse and inclusive discussions, and group works to which all students contribute and participate. It is important that everybody feels safe to contribute freely. The instructor will address the significance of an inclusive class atmosphere in the first session. In terms of course structure and content, the course takes the key state of the art concepts of PA scholarship as its starting point and will apply them to different cases and examples from around the globe. Students are encouraged to contribute examples based on their backgrounds. The instructor has broad experience in comparative PA research and in working with governments from different parts of the world which also serves to provide examples from different cases. Last but not least, group works will - occasionally - work with fictional cases that could travel across real- world country cases."
"19","statistics1_Kayser.pdf","NULL"
"20","statisticsII_Munzert.pdf","Science thrives on the diversity of ideas and opinions, so I try to represent this diversity in our course as well. In the choice of course readings, we strive to cover authors with a diversity of backgrounds as far as possible. During class sessions, I seek to create a trusting and inclusive atmosphere that allows students of all orientations and backgrounds to be comfortable and openly engage in discussions. The R community lives these values and I want you to become part of it. If you have any suggestions that contribute to this goal, I am always grateful for feedback."
